,0
1002,47.0
1003,217.1
1004,33.0
1005,35.9
1006,35.4
1007,328.8
1008,209.9
1009,28.1
1010,213.0
1011,263.1
1012,95.6
1013,73.0
1014,172.8
1015,73.9
1016,57.6
1017,173.3
1018,276.6
1019,291.1
1020,358.3
1021,172.5
1022,72.7
1023,253.0
1024,81.5
1025,252.7
1026,345.6
1027,117.9
1028,336.3
1029,280.1
1030,297.9
1031,110.5
1032,215.1
1033,56.2
1034,289.7
1035,22.5
1036,201.8
1037,109.7
1038,203.3
1039,221.9
1040,288.4
1041,193.1
1042,85.2
1043,11.9
1044,343.1
1045,252.3
1046,96.0
1047,66.3
1048,241.2
1049,108.1
1050,10.2
1051,31.0
1052,108.4
1053,287.0
1054,10.3
1055,101.2
1056,190.3
1057,20.2
1058,183.1
1059,200.2
1060,337.6
1061,8.0
1062,188.6
1063,82.0
1064,162.6
1065,260.6
1066,341.1
1067,342.6
1068,163.1
1069,259.5
1070,313.7
1071,161.1
1072,262.0
1073,19.2
1074,194.3
1075,77.8
1076,276.0
1077,245.6
1078,178.6
1079,67.0
1080,333.1
1081,257.8
1082,358.6
1083,153.1
1084,65.6
1085,245.5
1086,14.3
1087,185.3
1088,250.5
1089,74.0
1090,337.1
1091,156.1
1092,270.8
1093,75.0
1094,273.7
1095,252.1
1096,255.0
1097,70.5
1098,96.1
1099,166.9
1100,80.9
1101,254.0
1102,252.6
1103,346.9
1104,165.6
1105,72.3
1106,238.6
1107,265.3
1108,3.1
1109,133.7
1110,186.4
1111,336.1
1112,156.3
1113,274.8
1114,358.3
1115,94.8
1116,170.8
1117,178.3
1118,90.8
1119,260.9
1120,260.7
1121,215.9
1122,33.1
1123,29.9
1124,283.4
1125,213.1
1126,279.0
1127,79.1
1128,250.6
1129,208.1
1130,280.9
1131,35.1
1132,103.4
1133,259.1
1134,349.8
1135,57.5
1136,96.8
1137,263.0
1138,183.5
1139,202.8
1140,26.4
1141,139.7
1142,294.4
1143,208.3
1144,30.0
1145,210.0
1146,27.5
1147,184.0
1148,349.3
1149,257.1
1150,78.8
1151,78.8
1152,330.0
1153,257.1
1154,246.2
1155,38.6
1156,197.6
1157,112.3
1158,150.9
1159,326.1
1160,208.9
1161,288.0
1162,340.9
1163,107.5
1164,156.1
1165,163.0
1166,251.0
1167,183.9
1168,345.9
1169,68.6
1170,324.2
1171,234.8
1172,93.5
1173,187.0
1174,250.5
1175,4.2
1176,185.0
1177,273.5
1178,4.6
1179,328.8
1180,74.5
1181,259.0
1182,165.9
1183,120.6
1184,244.1
1185,239.7
1186,70.5
1187,324.2
1188,143.7
1189,57.3
1190,160.9
1191,56.4
1192,331.9
1193,304.2
1194,346.5
1195,246.4
1196,58.9
1197,47.0
1198,236.6
1199,143.0
1200,90.9
1201,320.2
1202,218.0
1203,157.7
1204,78.2
1205,273.3
1206,354.3
1207,219.5
1208,39.5
1209,136.6
1210,46.2
1211,316.7
1212,136.6
1213,46.1
1214,147.0
1215,323.8
1216,183.8
1217,316.6
1218,93.5
1219,143.9
1220,322.2
1221,45.5
1222,219.8
1223,50.1
1224,137.5
1225,302.0
1226,182.8
1227,3.0
1228,273.6
1229,235.1
1230,24.3
1231,90.0
1232,226.4
1233,93.6
1234,316.0
1235,299.9
1236,60.8
1237,110.6
1238,230.2
1239,146.1
1240,45.3
1241,328.5
1242,229.2
1243,50.9
1244,325.7
1245,144.1
1246,96.8
1247,324.1
1248,182.3
1249,141.6
1250,312.9
1251,44.7
1252,180.9
1253,3.8
1254,93.5
1255,273.5
1256,151.6
1257,50.2
1258,3.4
1259,23.8
1260,299.6
1261,81.8
1262,33.8
1263,81.2
1264,191.0
1265,307.2
1266,81.3
1267,309.2
1268,257.2
1269,89.1
1270,143.1
1271,161.0
1272,137.2
1273,79.0
1274,210.5
1275,44.0
1276,235.6
1277,210.2
1278,45.0
1279,30.0
1280,208.2
1281,30.3
1282,221.7
1283,193.4
1284,9.7
1285,91.5
1286,271.3
1287,206.2
1288,125.4
1289,26.2
1290,274.9
1291,208.0
1292,38.0
1293,352.3
1294,123.4
1295,218.7
1296,32.6
1297,211.8
1298,302.7
1299,31.3
1300,122.3
1301,59.5
1302,142.1
1303,234.1
1304,241.4
1305,64.9
1306,49.5
1307,210.2
1308,231.4
1309,48.5
1310,148.2
1311,228.5
1312,51.3
1313,97.8
1314,245.6
1315,226.0
1316,54.1
1317,98.4
1318,120.4
1319,128.9
1320,331.6
1321,308.9
1322,176.8
1323,76.4
1324,212.6
1325,356.8
1326,97.5
1327,176.0
1328,288.5
1329,285.6
1330,21.4
1331,223.5
1332,46.0
1333,125.5
1334,313.5
1335,108.5
1336,305.5
1337,105.6
1338,176.2
1339,7.6
1340,31.3
1341,124.2
1342,201.9
1343,66.0
1344,187.6
1345,21.9
1346,211.3
1347,32.6
1348,225.8
1349,16.1
1350,356.2
1351,45.7
1352,242.4
1353,273.4
1354,54.5
1355,96.6
1356,155.3
1357,16.2
1358,94.5
1359,8.2
1360,67.0
1361,104.2
1362,80.8
1363,181.6
1364,267.6
1365,339.0
1366,218.1
1367,135.0
1368,249.7
1369,114.3
1370,0.9
1371,294.8
1372,175.2
1373,127.6
1374,309.5
1375,355.2
1376,203.6
1377,316.0
1378,129.5
1379,131.6
1380,303.7
1381,322.9
1382,288.3
1383,264.1
1384,90.0
1385,83.6
1386,222.4
1387,243.6
1388,66.8
1389,285.2
1390,240.1
1391,84.1
1392,324.5
1393,77.1
1394,263.6
1395,146.1
1396,252.8
1397,73.0
1398,152.1
1399,195.6
1400,257.2
1401,46.0
1402,60.1
1403,226.0
1404,246.8
1405,2.9
1406,42.4
1407,326.1
1408,160.1
1409,321.2
1410,9.4
1411,65.9
1412,253.0
1413,164.2
1414,252.9
1415,340.7
1416,262.8
1417,74.2
1418,92.1
1419,259.8
1420,202.3
1421,239.8
1422,54.0
1423,2.9
1424,185.6
1425,234.4
1426,146.8
1427,9.9
1428,64.7
1429,230.2
1430,6.4
1431,141.7
1432,284.1
1433,344.1
1434,142.3
1435,104.1
1436,263.7
1437,191.7
1438,192.1
1439,303.9
1440,11.7
1441,129.9
1442,336.6
1443,262.3
1444,318.8
1445,282.8
1446,277.8
1447,240.5
1448,333.3
1449,128.7
1450,234.0
1451,99.7
1452,70.1
1453,117.3
1454,149.9
1455,149.9
1456,36.8
1457,21.1
1458,305.4
1459,193.1
1460,17.4
1461,195.8
1462,20.4
1463,252.4
1464,175.6
1465,85.9
1466,198.0
1467,21.9
1468,126.4
1469,300.6
1470,72.7
1471,25.0
1472,179.3
1473,38.6
1474,172.4
1475,37.2
1476,98.0
1477,302.1
1478,33.5
1479,43.5
1480,136.9
1481,30.8
1482,318.6
1483,137.8
1484,51.4
1485,79.1
1486,326.4
1487,354.0
1488,341.1
1489,315.0
1490,342.9
1491,332.5
1492,355.5
1493,336.5
1494,23.7
1495,314.5
1496,331.3
1497,324.6
1498,165.1
1499,143.5
1500,347.9
1501,321.8
1502,1.9
1503,111.8
1504,141.4
1505,183.6
1506,82.0
1507,296.8
1508,31.3
1509,115.9
1510,293.8
1511,205.6
1512,21.9
1513,17.9
1514,291.1
1515,201.9
1516,5.9
1517,186.7
1518,309.0
1519,73.4
1520,319.2
1521,139.0
1522,31.3
1523,246.0
1524,122.1
1525,211.3
1526,15.8
1527,287.1
1528,21.3
1529,195.8
1530,6.7
1531,197.9
1532,294.5
1533,90.1
1534,316.7
1535,114.5
1536,347.3
1537,136.7
1538,325.5
1539,202.6
1540,145.5
1541,70.5
1542,323.1
1543,185.9
1544,73.8
1545,287.4
1546,110.2
1547,17.4
1548,321.1
1549,203.2
1550,107.3
1551,187.6
1552,129.0
1553,124.3
1554,270.1
1555,66.0
1556,304.3
1557,238.2
1558,60.0
1559,319.0
1560,240.0
1561,32.7
1562,302.1
1563,212.7
1564,18.1
1565,322.8
1566,24.3
1567,176.2
1568,141.1
1569,109.8
1570,201.3
1571,5.8
1572,185.8
1573,319.1
1574,42.5
1575,197.4
1576,301.2
1577,36.3
1578,139.1
1579,197.4
1580,309.7
1581,121.2
1582,39.6
1583,204.3
1584,42.1
1585,313.1
1586,129.7
1587,318.9
1588,139.2
1589,25.5
1590,253.4
1591,17.4
1592,290.2
1593,107.1
1594,205.5
1595,138.9
1596,356.2
1597,23.2
1598,253.8
1599,25.0
1600,170.2
1601,255.6
1602,99.0
1603,222.1
1604,264.1
1605,279.0
1606,40.7
1607,219.6
1608,109.4
1609,220.7
1610,344.3
1611,216.3
1612,153.6
1613,329.6
1614,178.9
1615,211.9
1616,333.6
1617,31.9
1618,222.5
1619,106.6
1620,358.9
1621,191.8
1622,286.6
1623,289.8
1624,198.1
1625,11.8
1626,142.8
1627,350.2
1628,251.9
1629,229.1
1630,322.2
1631,37.4
1632,231.2
1633,49.1
1634,291.7
1635,308.4
1636,142.2
1637,77.4
1638,171.2
1639,262.6
1640,102.9
1641,229.1
1642,49.1
1643,290.7
1644,351.2
1645,159.3
1646,261.6
1647,110.7
1648,51.2
1649,143.1
1650,293.2
1651,217.9
1652,211.1
1653,37.9
1654,340.3
1655,81.5
1656,341.5
1657,249.0
1658,179.6
1659,113.2
1660,270.2
1661,347.5
1662,160.3
1663,339.3
1664,167.5
1665,264.3
1666,111.7
1667,261.5
1668,90.2
1669,154.1
1670,250.5
1671,7.6
1672,167.3
1673,22.6
1674,203.5
1675,111.1
1676,295.9
1677,58.2
1678,119.5
1679,252.7
1680,161.5
1681,329.9
1682,84.3
1683,311.5
1684,225.7
1685,51.9
1686,313.6
1687,359.0
1688,130.9
1689,216.3
1690,45.7
1691,315.3
1692,322.0
1693,123.4
1694,63.3
1695,156.8
1696,139.3
1697,309.4
1698,336.5
1699,342.7
1700,158.1
1701,224.1
1702,74.8
1703,348.8
1704,229.5
1705,292.3
1706,
1707,190.0
1708,254.4
1709,277.7
1710,251.6
1711,0.6
1712,54.8
1713,222.1
1714,42.1
1715,237.9
1716,226.7
1717,45.0
1718,128.4
1719,46.7
1720,358.0
1721,218.6
1722,130.4
1723,225.0
1724,46.7
1725,212.1
1726,56.0
1727,157.5
1728,342.4
1729,250.9
1730,158.2
1731,336.9
1732,240.7
1733,151.4
1734,329.8
1735,242.1
1736,151.1
1737,331.2
1738,62.5
1739,254.3
1740,151.5
1741,331.1
1742,62.1
1743,239.8
1744,150.6
1745,331.5
1746,244.0
1747,61.8
1748,149.8
1749,331.5
1750,242.5
1751,151.1
1752,331.4
1753,241.8
1754,151.9
1755,331.1
1756,242.0
1757,148.4
1758,331.9
1759,238.4
1760,145.1
1761,328.4
1762,236.6
1763,237.6
1764,324.5
1765,144.5
1766,156.3
1767,60.7
1768,334.2
1769,156.7
1770,341.3
1771,252.4
1772,336.7
1773,64.0
1774,156.6
1775,151.7
1776,336.6
1777,61.9
1778,151.4
1779,328.6
1780,56.6
1781,143.4
1782,325.9
1783,55.8
1784,144.5
1785,325.2
1786,57.6
1787,236.7
1788,114.4
1789,210.7
1790,314.3
1791,304.0
1792,116.4
1793,59.2
1794,128.6
1795,229.9
1796,282.6
1797,41.7
1798,313.6
1799,132.0
1800,291.7
1801,115.3
1802,43.9
1803,138.8
1804,223.9
1805,49.9
1806,319.7
1807,117.2
1808,295.9
1809,25.9
1810,203.4
1811,293.7
1812,115.8
1813,25.3
1814,213.1
1815,302.2
1816,116.9
1817,51.4
1818,312.0
1819,125.2
1820,233.0
1821,223.2
1822,102.6
1823,139.7
1824,136.1
1825,315.7
1826,33.1
1827,296.4
1828,112.4
1829,205.4
1830,291.4
1831,115.4
1832,206.5
1833,181.5
1834,340.7
1835,189.7
1836,169.3
1837,76.8
1838,258.8
1839,187.6
1840,4.0
1841,49.0
1842,75.5
1843,188.2
1844,10.9
1845,254.7
1846,190.2
1847,9.3
1848,76.2
1849,285.4
1850,255.4
1851,142.3
1852,105.2
1853,309.2
1854,156.6
1855,226.7
1856,58.6
1857,45.3
1858,151.8
1859,231.1
1860,150.3
1861,241.1
1862,59.1
1863,142.8
1864,241.1
1865,61.1
1866,319.0
1867,228.4
1868,359.9
1869,160.2
1870,55.1
1871,139.1
1872,327.2
1873,69.4
1874,148.5
1875,319.1
1876,142.5
1877,328.5
1878,224.8
1879,155.2
1880,324.1
1881,320.8
1882,64.1
1883,134.3
1884,314.3
1885,297.5
1886,66.5
1887,120.5
1888,237.6
1889,51.7
1890,229.1
1891,315.7
1892,57.1
1893,250.2
1894,167.1
1895,346.3
1896,76.0
1897,256.1
1898,167.5
1899,347.1
1900,75.9
1901,256.9
1902,2.9
1903,76.6
1904,256.6
1905,146.0
1906,76.7
1907,256.3
1908,275.0
1909,78.2
1910,255.1
1911,259.3
1912,328.2
1913,44.9
1914,247.9
1915,144.6
1916,324.5
1917,54.5
1918,138.4
1919,320.1
1920,50.3
1921,143.2
1922,320.2
1923,49.9
1924,234.8
1925,151.6
1926,334.2
1927,142.7
1928,325.4
1929,55.0
1930,236.9
1931,334.1
1932,154.1
1933,235.6
1934,333.0
1935,153.5
1936,57.3
1937,149.7
1938,53.1
1939,235.6
1940,332.2
1941,332.0
1942,148.0
